127.0.0.1 - - [14/Oct/2016:08:57:16 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:57:44 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:57:44 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:57:44 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:57:44 -0300] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:57:44 -0300] "GET /ProjectPortal_ERM/Styles/IncludeBorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:57:44 -0300] "GET /ProjectPortal_ERM/Styles/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:58:02 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:58:02 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:58:02 -0300] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:58:02 -0300] "GET /ProjectPortal_ERM/Styles/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:58:02 -0300] "GET /ProjectPortal_ERM/Styles/IncludeBorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:58:02 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Oct/2016:08:59:59 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:02 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:03 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:04 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:05 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:05 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:05 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:06 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:06 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:06 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:06 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:07 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:07 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:07 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:07 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:08 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:08 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:00:09 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:01:03 -0300] "POST /ProjectPortal_ERM/ HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:01:03 -0300] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:01:03 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:01:03 -0300] "GET /ProjectPortal_ERM/Styles/IncludeBorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:01:03 -0300] "GET /ProjectPortal_ERM/Styles/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:09:01:03 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
