127.0.0.1 - - [17/Oct/2016:08:54:18 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/Styles/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/Styles/IncludeBorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:08:58:06 -0200] "GET /ProjectPortal_ERM/jquerys/Criptografia.js HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/Styles/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/jquerys/Criptografia.js HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:09 -0200] "GET /ProjectPortal_ERM/Styles/IncludeBorder.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2016:09:02:10 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
